-7.95401 90.6107 | 0.887935 2.00466 | 6740.98 -2192.17
-7.4624 90.5053 | 2.29519 -0.584796 | -5534.77 3452.13
-6.98227 90.3644 | -0.202358 -2.16805 | 6806.9 -4572.7
-6.50843 90.1898 | -0.21888 1.58768 | 478.596 7410.21
-6.0444 89.9952 | 2.09448 4.076 | -8818.09 1402.94
-5.60228 89.7678 | 1.95891 0.298364 | -2472.77 -11669.2
-5.181 89.4996 | -1.15355 -1.36328 | 8874.03 4619.93
-4.76015 89.2248 | -0.935943 -1.03142 | 365.051 8451.03
-4.34247 88.9514 | 1.91969 -3.48112 | -12726.4 -3833.9
-3.94381 88.6619 | 2.37648 -3.13454 | -2127.89 -395.931
-3.54992 88.3692 | 2.87908 -0.402152 | 3614.51 2967.66
-3.1439 88.0923 | -0.665184 0.014847 | 1967.7 455.637
-2.72246 87.8361 | -1.82611 1.12737 | 6788.46 2644.26
-2.28576 87.5989 | 1.30536 1.92421 | -1920.68 -8928.81
-1.84796 87.3593 | -0.42902 1.85976 | -4528.2 -1219.34
-1.40805 87.1274 | -0.436033 2.46349 | 5464.53 6997.22
-0.954408 86.9215 | 1.0043 2.03409 | -2662.27 -5773.08
-0.494681 86.7294 | -0.278698 0.184709 | 689.082 1803.01
-0.0260362 86.5616 | 1.75763 -0.502197 | -3281.47 4352.05
0.448715 86.4212 | -1.47295 -1.75436 | 1872.95 -2996.83
0.929955 86.2957 | -2.65622 -4.23226 | 6805.87 -7419.2
1.42017 86.1815 | 1.23393 -1.39669 | -436.142 3831.26
1.91665 86.0987 | 0.00557129 -2.207 | -968.026 946.011
2.41663 86.0519 | -0.394097 -2.40186 | -3288.23 -4839.71
2.91619 86.0425 | 1.12102 -0.0431626 | -851.285 9285.33
3.41304 86.0912 | -0.454648 1.46717 | 4847.17 -2652.22
3.90656 86.1807 | -5.06439 1.79788 | -5739.05 -5432.06
4.38787 86.305 | -5.29879 -0.357915 | -848.421 3487.35
4.85375 86.4746 | -3.72975 0.0820924 | -6626.53 649.274
5.29988 86.6825 | -3.31223 1.26699 | 1922.43 925.908
5.7379 86.9123 | 0.578353 -1.75124 | 14149.5 112.118
6.18283 87.148 | 3.49053 -3.89208 | -2482.94 2917.94
6.62499 87.3891 | 0.180073 0.325268 | -6398.17 -179.019
7.06537 87.6236 | 1.31987 0.801938 | 86.9386 -12036.7
7.51439 87.8312 | 1.1441 1.96793 | -3259 6737.13
7.96616 88.0327 | -1.13463 2.91336 | 5523.72 722.939
8.42723 88.2219 | 1.28658 1.91178 | 1201.04 -6461.58
8.89503 88.3957 | 2.07731 4.77672 | 4778.01 7799.31
9.36509 88.5784 | 1.64305 4.78503 | 4217.24 4043.58
9.83428 88.7709 | -0.18023 2.16378 | -14339.7 -3655.8
10.293 88.9636 | -2.80655 0.0172457 | 63.8139 -3231.89
10.7528 89.147 | -1.9362 1.19643 | -1822.58 -897.7
11.2151 89.3212 | -0.550014 1.39496 | 3316.87 4440.26
11.6853 89.4888 | 0.662576 0.285647 | 16948.8 1826.63
12.1738 89.6412 | 0.696584 2.23719 | 4636.46 2461.83
12.6707 89.7779 | 0.624823 0.263416 | -16559.3 1774.4
13.1618 89.8934 | 1.74945 0.505875 | -5940.8 -13236.4
13.6544 89.9633 | 2.55252 0.896552 | 5970.7 6434.85
14.1527 90.0108 | 2.38501 -0.130173 | -2590.3 8396.29
14.6502 90.0351 | 2.74757 2.66481 | -11841.2 -8191.04
15.1392 90.003 | -0.883431 0.898925 | 4503.85 -3075.8
15.6245 89.9173 | -1.08317 2.57181 | 6385.13 5558.08
16.1063 89.7956 | -0.488222 -3.49882 | 563.352 -6323.58
16.5765 89.632 | 0.610467 -2.69215 | -11664.2 2604.06
17.0305 89.4465 | 1.93039 2.89187 | 3372.03 10926.8
17.4844 89.2604 | -2.76422 -3.48259 | 16494.1 -13475.8
17.9422 89.0501 | -2.67626 -2.35932 | -6630.29 3089.47
18.3899 88.8263 | -0.402765 -1.59275 | -2993.76 4005.32
18.8288 88.593 | -2.68855 -0.771146 | 624.564 -4296.56
19.2605 88.3446 | -2.97985 1.35756 | -1554.46 848.776
19.6876 88.091 | -0.747945 1.58182 | -2954.91 -1441.82
20.1148 87.8415 | -0.43722 4.24981 | 482.145 9175.35
20.5511 87.6149 | -0.619259 2.26813 | -1932.58 -43.9105
20.9916 87.3985 | 0.0439964 -0.636585 | 6421.63 -5429.66
