2.88862 -67.3785 | 0.918853 -0.56912 | -485.357 1093.4
3.36686 -67.2473 | 1.08609 -0.583154 | -4915.23 -945.898
3.82507 -67.0659 | 0.292027 0.858128 | 3052.46 2585.82
4.26328 -66.8368 | 2.045 0.117509 | -3966.4 -6730.89
4.6779 -66.573 | 0.814619 -0.110755 | 6153.38 9506.91
5.07298 -66.2684 | 0.675803 0.831185 | 6624.25 3111.47
5.45434 -65.939 | -1.24509 2.23127 | -7918.81 -8045.89
5.8187 -65.6001 | -0.956501 -2.08496 | 3154.49 3228.86
6.17637 -65.2515 | 0.591739 -3.55156 | -613.784 -1059.07
6.53082 -64.9006 | 0.368383 -3.78544 | -402.452 -3797.63
6.88622 -64.5528 | -1.19013 -0.807675 | 2959.97 6829.58
7.24424 -64.2021 | 2.4048 0.296891 | -5296.97 -2519.24
7.60571 -63.8593 | 3.02637 -2.12534 | 2811.91 -1684.41
7.98373 -63.5334 | 0.563448 0.295543 | 1687.72 9523.88
8.38226 -63.2244 | -1.37447 -0.168954 | 8594.46 -9056.77
8.81332 -62.9587 | -2.80898 0.39066 | 3362.58 -5210.21
9.26169 -62.7233 | -3.37334 2.6697 | -15138.9 9882.77
9.70124 -62.4842 | -3.31692 0.137191 | -1192.54 1767.08
10.1459 -62.257 | -0.685408 0.364811 | 3509.38 -2475.03
10.6083 -62.0672 | -0.171958 -0.825148 | -2396.1 -8575.17
11.0859 -61.9301 | -1.04087 -4.76358 | 1607.62 4244.06
11.5734 -61.8292 | 0.0975472 -5.6721 | -3500.68 4045.35
12.0647 -61.7618 | -1.01656 -3.77932 | -3010.22 -1005.39
12.5582 -61.7414 | -1.78873 -1.00086 | 5018.64 -819.109
13.055 -61.7756 | -0.531217 0.543025 | 7770.91 -6172.64
13.5512 -61.8667 | -2.45199 0.553274 | -1550.83 -4950.21
14.0394 -61.9951 | -2.66188 -2.36833 | -2712.23 14077.4
14.524 -62.1223 | -0.812368 0.855777 | 3507.45 -453.631
15.0068 -62.2622 | -2.62103 1.36379 | -3341.76 -9337.82
15.4798 -62.4279 | -3.15708 1.07254 | -7026.37 10671.4
15.9443 -62.5933 | -2.10358 3.56731 | -10547.8 418.735
16.3997 -62.7637 | -2.59589 -0.260544 | 13114.7 2362.53
16.8619 -62.9362 | -1.98785 -1.19708 | 1978.18 -3694.46
