5.39682 72.2009 | 0.160208 -0.713769 | 470.672 -2396.77
5.89166 72.292 | 0.68489 -2.39191 | -1381.13 888.415
6.37924 72.4111 | 0.840258 -2.88416 | -2229.59 -3297.29
6.85705 72.5564 | 0.644235 -2.39832 | -2239.58 9.08705
7.32136 72.7356 | 0.0692833 -0.313639 | 639.204 2170.16
7.77021 72.953 | 0.259665 -0.017818 | 3432.22 -585.157
8.20322 73.2047 | 0.713269 -0.551254 | 1617.44 -907.161
8.61423 73.4925 | 0.634679 -0.276419 | -1198.44 2992.15
8.99311 73.8225 | 0.987169 -0.719538 | 379.694 1248.05
9.33659 74.1906 | -0.0332882 -0.125446 | 975.952 138.576
9.64299 74.5908 | -1.82562 0.856374 | -1498.69 572.97
9.90814 75.0189 | -1.63976 0.960873 | -3207.74 -87.3331
10.133 75.4684 | -0.554556 0.921909 | -2066.67 438.284
10.3293 75.9307 | -0.141717 1.00687 | 1138.55 -598.125
10.5176 76.3961 | -1.2643 1.66276 | 2688.03 -1685.14
10.7138 76.8581 | -1.92973 2.17672 | 1646.83 1752.5
10.9233 77.316 | -1.51977 2.05548 | 1769.64 860.265
11.148 77.7678 | -1.13043 1.34576 | -1036.56 -2283.64
11.3846 78.2114 | -1.32211 0.685315 | -3078.65 -2489.99
11.6307 78.6461 | -1.19705 0.508369 | -1128.22 -2540.87
11.89 79.0705 | -0.845274 0.459583 | -134.893 773.693
12.1657 79.4848 | 0.0589575 -0.429324 | 2538.92 1468.46
12.4614 79.8879 | 0.824308 -0.863762 | -860.184 3883.52
12.7754 80.2795 | 0.853291 -0.0685584 | -1114.43 1557.4
13.1135 80.6507 | -0.00332643 1.43563 | 1807.58 -5767.83
13.485 80.985 | -0.912149 3.1151 | -2517.86 -1341.63
13.8841 81.2821 | -0.284554 2.71453 | -1096.06 949.59
14.3075 81.5428 | -0.197181 1.4846 | 1627.69 477.11
14.7543 81.7643 | -1.27501 1.53359 | 1916.21 1500.08
15.2209 81.9457 | -1.81895 2.92952 | 713.884 58.2326
15.7027 82.0847 | -1.08795 2.64441 | 564.523 -1049.67
16.1954 82.1801 | -0.77467 0.955692 | 35.3027 1438.6
16.6943 82.2358 | -1.02261 -0.733176 | -998.998 324.317
17.1953 82.2505 | -1.29241 -3.20179 | -516.211 -1234.58
17.695 82.2218 | -1.67905 -4.21861 | -989.119 -650.112
18.1898 82.1525 | -1.72634 -3.01533 | -1534.59 1662.55
18.6772 82.0493 | -1.08721 -1.31869 | 493.744 1659.63
19.1564 81.9138 | -0.331383 -1.41052 | 790.077 -1069.56
19.6244 81.7419 | 0.115039 -1.27786 | -330.426 -917.132
20.0777 81.5342 | -0.062674 -0.117598 | -1363.6 -1579.96
20.5151 81.295 | -1.28673 -0.069566 | 48.1941 -1751.8
20.9418 81.0358 | -1.96235 -0.0592554 | 1253.98 1339.51
21.3667 80.7729 | -1.55956 0.265661 | -988.726 594.731
21.7948 80.5167 | -0.293233 1.48557 | 1276.6 1129.05
22.2328 80.2767 | 1.11925 2.75298 | 3255.81 1812.25
22.6831 80.057 | 2.03417 2.75319 | 879.314 657.6
23.1405 79.8514 | 2.71555 2.44558 | -2857.32 -2727.93
23.5984 79.6501 | 2.64059 2.03486 | -2856.06 -802.691
24.0574 79.4557 | 1.79025 1.97442 | -402.828 131.404
24.5221 79.2765 | 1.11374 2.05498 | 1052.44 -2049.38
24.9965 79.1208 | 1.36796 2.13554 | 1917.19 1081.74
