-11.2876 -8.3666 | 2.29566 -0.556054 | 1713.14 -2316
-10.8542 -8.11812 | 0.943813 -0.862582 | -198.812 1234.62
-10.423 -7.86468 | 0.726301 -0.57619 | 1380.41 2446.87
-9.99496 -7.60219 | 0.891394 -0.158883 | -1479.68 4526.32
-9.57035 -7.33232 | 0.971499 -1.7162 | -519.748 -110.239
-9.1401 -7.07249 | 0.755392 -2.45247 | 463.907 -4031.02
-8.69558 -6.84119 | -1.10557 -0.236003 | -495.062 -3362.37
-8.23641 -6.64449 | -3.14907 1.77515 | -1093.56 -72.5118
-7.76648 -6.47756 | -3.22452 0.161113 | -630.637 121.939
-7.28848 -6.3358 | -2.44232 -1.29215 | 2585.97 1005.18
-6.80282 -6.21455 | -1.5047 0.168287 | 1024.51 829.682
-6.31234 -6.11041 | -0.597592 -0.0651927 | -2254.6 727.948
-5.82033 -6.0219 | -0.0537735 -2.01621 | -2231.26 764.403
-5.32702 -5.95092 | 0.345962 -3.75683 | 361.413 1411.06
-4.8303 -5.90297 | -0.666677 -3.80324 | 4105.74 1382.41
-4.32823 -5.88851 | -1.9027 -2.95725 | 3365.76 -1807.77
-3.82424 -5.92236 | -1.74971 -3.13296 | 1225.38 -5355.65
-3.32547 -6.01266 | -0.656768 -2.94018 | -694.396 -2503.75
-2.83686 -6.14844 | -0.709707 -2.55489 | -1324.73 3819.21
-2.3579 -6.31082 | -2.63244 -2.854 | 1139.98 1174.43
-1.88673 -6.49579 | -3.52845 -2.69365 | 1341.22 -2473
-1.42443 -6.70542 | -3.10056 -2.88977 | -1435.6 -1100.96
-0.972348 -6.93497 | -1.58308 -1.80829 | -587.49 3141.67
-0.527864 -7.17527 | -0.169563 -0.0652641 | -1788.19 2309.37
-0.0919504 -7.42688 | -1.46325 -1.26029 | 424.027 -2282.83
0.334484 -7.69602 | -2.15098 -2.43459 | 1161.13 -3687.15
0.751966 -7.98223 | -1.89214 -3.28601 | -561.794 2653.56
1.16279 -8.27526 | -1.82936 -4.56448 | -4223.5 386.866
1.5665 -8.57232 | 0.871897 -2.47344 | -5605.46 426.103
1.96865 -8.86427 | 2.91304 0.159638 | -234.141 5444.53
2.38317 -9.13289 | 2.35478 0.262807 | 2128.1 2438.94
2.81428 -9.37408 | 0.85457 -0.933673 | 435.227 -625.665
3.25768 -9.59304 | 0.047635 -0.429024 | -582.688 -533.371
3.70963 -9.79287 | 1.11623 2.14055 | -2967.55 -560.657
4.1677 -9.97357 | 1.52653 2.20732 | -392.718 248.748
