-66.6488 -26.6669 | 0.201866 1.37066 | 527.097 -1508.68
-66.1534 -26.6072 | -0.374618 0.692799 | -2936.36 -905.058
-65.657 -26.5822 | 0.119593 -0.568798 | -141.903 2554.96
-65.1599 -26.5823 | -0.0694545 -3.2488 | 614.559 4000.61
-64.6619 -26.6068 | -0.384953 -0.867095 | 10228.9 -5770.32
-64.1595 -26.6708 | -0.132085 -1.27271 | 3598.33 1659.51
-63.6597 -26.7691 | 0.142272 -2.60259 | -7347.86 -4049.78
-63.1729 -26.9055 | -0.00496831 -3.03762 | -215.159 782.214
-62.6943 -27.0656 | -0.0689064 -3.2217 | 1929.39 4771.88
-62.2197 -27.2382 | 0.011921 -2.94756 | 2289.75 -4022.77
-61.7518 -27.4321 | 1.33761 -3.23644 | -7165.9 2823.93
-61.2974 -27.6419 | 2.54061 -3.53419 | -7370.33 5135.4
-60.8556 -27.8643 | 3.10366 -1.74102 | 6799.38 -7719.17
-60.4172 -28.1062 | 3.41189 0.577931 | 6361.89 2543.88
-59.9787 -28.3545 | 2.88882 0.344508 | -5564.16 250.859
-59.5494 -28.6131 | 2.7389 -0.611906 | -1508.9 -2756.64
-59.1267 -28.881 | 2.28009 -0.348063 | 510.54 5673.36
-58.704 -29.1448 | 0.552614 -1.76004 | -2489.6 -1899.68
-58.284 -29.4097 | -0.856857 -2.45007 | -6123.06 1684.33
