53.2431 -30.5556 | 0.131279 0.898596 | 7148 -3969.02
53.7408 -30.6092 | 1.1323 -3.02918 | 5144.05 7143.55
54.2421 -30.6687 | -2.06126 -5.0589 | -6179.48 -1597.26


-86.9283 -30.4382 | 0.448152 3.12771 | 6216.61 -2605.29
-86.4319 -30.3535 | 1.47973 1.26022 | -14297.6 -4818.31
-85.9459 -30.2597 | 0.149923 -0.558587 | 15199 10374.9
-85.456 -30.1355 | 2.8162 -0.2037 | 4345.32 -548.994
-84.9674 -29.9918 | 0.484471 2.52123 | -6975.86 3454.92
-84.4872 -29.8314 | 4.01231 1.64187 | -2364.66 1054.07
-84.0074 -29.6732 | 2.61442 1.11139 | 8133.53 -6483.18
-83.5156 -29.542 | -2.36434 6.28465 | -937.837 2081.76
-83.0185 -29.4339 | -1.85901 2.75897 | -4548.33 3807.24
-82.5199 -29.3546 | -1.94351 0.337431 | -7402.5 -5692.89
-82.0229 -29.3283 | 1.52521 2.31145 | -8033.6 -5186.27
-81.531 -29.3592 | 1.04976 3.20563 | 15415.1 9831.44
-81.0345 -29.4286 | 2.33785 2.28663 | -4574.2 -10219.6
-80.5518 -29.5588 | -2.22935 3.96916 | -11086.1 2292.03
-80.0886 -29.7282 | 3.00026 5.13797 | 8942.3 8470.89
-79.6288 -29.9154 | 5.11078 -0.864448 | 11542.8 -1278.22
-79.1782 -30.1375 | -1.68614 5.28082 | -21100.9 -2597.51
-78.7698 -30.4131 | 0.286804 1.54565 | 7860.83 -5488.65
-78.3853 -30.7283 | -0.354079 -1.34009 | -3868.61 4834.59
-78.0186 -31.0585 | -2.91278 -0.624203 | -237.337 9002.47
-77.6571 -31.3884 | 0.652302 2.47423 | 877.354 -11033.7
-77.2979 -31.7285 | 3.01408 0.137307 | 13175.7 8174.89
-76.9257 -32.0596 | 0.466365 5.10706 | -12569.7 -8065.54
-76.5681 -32.4035 | -0.374729 0.199496 | 2389.74 4437.38
-76.2081 -32.7437 | 0.360653 2.65498 | 19.0902 -4934.7
-75.8405 -33.0792 | 2.08756 3.19878 | 9146.11 3698.78
-75.453 -33.3963 | -1.24455 0.12448 | -8143.52 -192.549
-75.0618 -33.7033 | 1.86963 3.09795 | 881.852 325.117
