58.4815 -24.4045 | -1.45629 -0.813673 | 6650.6 -4190.46
58.9796 -24.3626 | -1.80681 -0.973841 | -3325.87 3275.39
59.4761 -24.322 | -0.854385 -0.163235 | -1520.97 -2987.69
59.9722 -24.2986 | -0.987098 1.32259 | -661.465 -552.689
60.4688 -24.2965 | -1.53001 0.963817 | 4801.5 -739.936
60.9689 -24.3171 | -2.02435 -1.43046 | 3084.14 -5379.1
61.4708 -24.3589 | -2.40196 -0.531417 | 821.434 12142.9
61.9735 -24.3997 | -0.94622 0.259592 | 3801.35 -758.298
62.4756 -24.4659 | 0.459497 -0.381837 | -3998.29 -10208.3
62.9663 -24.5821 | 1.0352 0.643225 | -8419.32 5735.76
63.441 -24.7315 | 0.274298 -0.409268 | 1340.94 2414.6
63.9037 -24.9127 | 0.0593121 -0.388258 | -103.474 -5077.25
64.3505 -25.1323 | 2.56925 0.663452 | -2495.12 2281.71
64.7819 -25.3765 | 2.64503 -0.145635 | 1405.82 5144.28
65.2028 -25.6357 | 0.381848 -1.49827 | -1831.87 267.866
65.6081 -25.9171 | 1.0228 -1.35189 | 4757.64 -2772.1
65.9975 -26.2251 | 0.647337 -1.88501 | -2754.37 1979.27
66.3622 -26.5585 | -0.100305 -1.58867 | -4787.97 2687.69
66.699 -26.9157 | -0.929414 -1.1143 | 5200.42 -4163.32
67.0164 -27.2954 | -2.87103 -1.14621 | -2295.73 -1700.38
67.3147 -27.6906 | -0.459489 0.0179453 | 2539.11 6170.98
67.6068 -28.0882 | -0.571735 1.8475 | 1708.39 -3855.4
67.8917 -28.4945 | -2.08187 1.61736 | 1182.75 -3376.56
68.1693 -28.9093 | -1.28104 -0.382703 | 3532.15 3005.92
68.4411 -29.3273 | 0.977128 1.25435 | -4898.74 2705.62
68.6941 -29.7532 | -0.774478 2.17624 | -2830.29 -3494.22
68.9285 -30.1909 | -3.83439 1.38205 | 4790.22 -3272.11
69.1587 -30.6341 | -4.41731 -0.85846 | -1536.33 5526.61
69.3865 -31.0746 | -2.29551 -2.66569 | -4235.23 1262.25
69.6127 -31.513 | -0.630688 -2.12404 | -2023.59 -2979.54
69.8507 -31.9463 | 1.15541 -2.38924 | 4977.31 -1315.42
70.1227 -32.3623 | 2.62004 -2.23912 | 6635.02 -719.289
70.4345 -32.7526 | 1.05347 -0.478563 | -9411.82 3105.74
70.7702 -33.1145 | 1.3579 0.868365 | -4604.06 5919.94
71.1338 -33.4403 | 0.692817 0.498156 | 4508.01 -1714.47
71.5291 -33.7324 | 0.935936 -0.629643 | 4363.44 -5783.17
71.9493 -33.9978 | 2.74513 -0.403068 | 751.497 -2924.04
72.3879 -34.2351 | 1.57598 0.0565464 | -6363.21 3986.21
72.8393 -34.4359 | -0.833366 -2.00003 | 3621.48 3775.7
