61.3201 -21.67 | 3.29075 0.660946 | -3588.87 -5533.44
61.7842 -21.869 | 2.46373 0.174238 | 5736.77 1107.69
62.2329 -22.1071 | -0.722362 0.606208 | -1999.97 -1388.37
62.6551 -22.3882 | 0.295445 3.13876 | -5704.9 -4501.06
63.0438 -22.7103 | 0.430926 1.78192 | -3795.66 8403.18
63.4082 -23.0501 | -1.54498 -2.2363 | -2852.98 5257.88
63.7543 -23.4015 | -2.95302 -1.79026 | -325.631 -1086.51
64.0866 -23.765 | -3.37023 -0.636036 | -767.74 2649.18
64.4097 -24.1344 | -0.268682 -0.375024 | 1047.42 -56.8225
64.7283 -24.5088 | 1.52028 0.0836862 | 5144.84 -1641.65
65.0452 -24.8892 | -1.33236 -0.793321 | -188.169 -2578.41
65.352 -25.2799 | -2.59651 -0.955516 | -3521.85 -2059.5
65.6457 -25.6801 | -1.37008 -0.957993 | 2216.02 5165.91
65.9375 -26.0791 | 0.592697 1.08191 | -5723.86 -3807.66
66.2246 -26.4807 | 0.391726 3.64479 | 777.226 2130.3
66.5254 -26.8705 | -1.9243 3.18479 | 6300.52 5841.77
66.8512 -27.2392 | -0.892836 2.2368 | -6463.78 -4831.44
67.1845 -27.6004 | 0.302453 2.71711 | 2325.46 2562.36
67.5324 -27.9481 | -3.3 -1.42384 | 3782.1 -3835.86
67.8922 -28.2887 | -4.79225 -3.38844 | -724.959 175.619
68.2562 -28.6242 | -4.34602 -0.708061 | -8045.75 -2623.5
68.6183 -28.9578 | -3.99846 -0.606006 | 2262.8 496.075
68.996 -29.2747 | -1.4077 -0.922887 | 7765.53 7123.13
69.3965 -29.5635 | -0.0721774 -2.95817 | -8635.9 -4514.21
69.7975 -29.8458 | 1.29936 -1.97134 | -2637.21 2475.28
70.2015 -30.1199 | 1.34984 -0.167986 | 2206.46 -5247.35
70.614 -30.3895 | -1.39324 -2.17413 | 11964.1 -5860.26
